,brand,category_code,product_code,price,event_type,shopping_time,coupon
18969455,huawei,electronics,smartphone,694.97,view,2,No
4557931,samsung,electronics,smartphone,174.05,view,15,No
30803979,xiaomi,electronics,smartphone,86.87,view,4,No
32244729,apple,electronics,smartphone,581.16,view,6,Yes
26606777,fassen,apparel,keds,44.79,view,6,Yes
7641999,samsung,electronics,tablet,237.14,view,1,Yes
35914093,id-cooling,computers,cooler,28.7,view,17,No
16563879,acer,computers,notebook,911.92,view,10,Yes
21792897,texet,electronics,telephone,17.44,view,17,Yes
33698468,apple,electronics,headphone,159.91,view,7,Yes
38467054,huawei,electronics,smartphone,952.05,view,16,Yes
36519776,xiaomi,electronics,smartphone,182.94,view,8,Yes
41525036,vitek,appliances,blender,20.57,view,7,No
15423427,samsung,computers,monitor,102.94,view,15,Yes
37552609,philips,appliances,vacuum,203.33,view,2,No
14599132,respect,apparel,shoes,89.84,view,5,Yes
5315668,huawei,electronics,smartphone,111.7,view,7,Yes
42257670,apple,electronics,smartphone,928.38,view,17,Yes
40983962,prestigio,auto,videoregister,66.9,view,17,Yes
40228011,asus,computers,notebook,1088.57,view,6,Yes
31407475,lg,appliances,vacuum,180.16,view,13,No
39358120,samsung,electronics,smartphone,243.22,view,11,Yes
186238,samsung,electronics,smartphone,251.44,view,5,No
15654426,huawei,electronics,smartphone,130.48,view,18,No
25307897,apple,electronics,smartphone,1023.54,view,8,Yes
8931859,huawei,electronics,smartphone,245.57,view,3,Yes
25687755,midea,appliances,washer,100.13,view,13,Yes
26919059,sony,electronics,video,411.34,view,10,Yes
35271764,xiaomi,electronics,smartphone,189.97,view,9,Yes
39158357,apple,electronics,smartphone,385.83,view,8,Yes
7088857,samsung,electronics,clocks,259.72,view,13,No
38234705,pro-karaoke,electronics,acoustic,334.6,view,13,Yes
11785241,bosch,appliances,ironing_board,200.75,view,5,Yes
10443566,huawei,electronics,smartphone,272.08,view,5,Yes
23147160,samsung,electronics,tablet,822.35,view,17,Yes
2885513,huawei,electronics,smartphone,111.7,view,10,Yes
34347741,apple,electronics,smartphone,696.03,view,15,No
